Player,BPQ
Gael Monfils,0.3972
Matteo Berrettini,0.3776
Denis Shapovalov,0.3795
Rafael Nadal,0.4551
Jannik Sinner,0.4412
Stefanos Tsitsipas,0.3925
Felix Auger Aliassime,0.3788
Daniil Medvedev,0.4458
Taylor Fritz,0.3582
Carlos Alcaraz,0.4196
Andrey Rublev,0.4093
Cameron Norrie,0.4266
Miomir Kecmanovic,0.386
Grigor Dimitrov,0.4157
Casper Ruud,0.4205
Hubert Hurkacz,0.3789
Francisco Cerundolo,0.4151
Alexander Zverev,0.4085
Alejandro Davidovich Fokina,0.4062
Diego Schwartzman,0.4458
Novak Djokovic,0.4578
Cristian Garin,0.4077
Holger Rune,0.4375
Marin Cilic,0.3491
David Goffin,0.4173
Nick Kyrgios,0.4173
Pablo Carreno Busta,0.3942
Daniel Evans,0.4041
Tommy Paul,0.4099
Borna Coric,0.3092
John Isner,0.2851
Karen Khachanov,0.3994
Frances Tiafoe,0.3873
Lorenzo Musetti,0.375
Adrian Mannarino,0.411
Alex De Minaur,0.4189
Maxime Cressy,0.3605
Jenson Brooksby,0.4049
Reilly Opelka,0.3298
Lloyd Harris,0.3959
Thanasi Kokkinakis,0.3647
Sebastian Korda,0.4085
Albert Ramos,0.4204
Laslo Djere,0.3911
Dusan Lajovic,0.3878
Stan Wawrinka,0.3699
Marcos Giron,0.3811
Filip Krajinovic,0.4167
Bernabe Zapata Miralles,0.403
Tim Van Rijthoven,
Brandon Nakashima,0.4359
Jason Kubler,
Botic Van De Zandschulp,0.3548
Jack Draper,0.3
Roberto Bautista Agut,0.4201
Ben Shelton,
Corentin Moutet,0.3988
Ilya Ivashka,0.3671
Gilles Simon,0.4042