name,t_serve_total,t_serve_won,t_receive_total,t_receive_won,1_serve_total,1_serve_won,1_receive_total,1_receive_won,2_serve_total,2_serve_won,2_receive_total,2_receive_won,3_serve_total,3_serve_won,3_receive_total,3_receive_won,4_serve_total,4_serve_won,4_receive_total,4_receive_won,5_serve_total,5_serve_won,5_receive_total,5_receive_won,6_serve_total,6_serve_won,6_receive_total,6_receive_won,7_serve_total,7_serve_won,7_receive_total,7_receive_won,8_serve_total,8_serve_won,8_receive_total,8_receive_won,9_serve_total,9_serve_won,9_receive_total,9_receive_won,10_serve_total,10_serve_won,10_receive_total,10_receive_won,11_serve_total,11_serve_won,11_receive_total,11_receive_won,12_serve_total,12_serve_won,12_receive_total,12_receive_won,13_serve_total,13_serve_won,13_receive_total,13_receive_won,14_serve_total,14_serve_won,14_receive_total,14_receive_won,15_serve_total,15_serve_won,15_receive_total,15_receive_won,16_serve_total,16_serve_won,16_receive_total,16_receive_won,17_serve_total,17_serve_won,17_receive_total,17_receive_won,18_serve_total,18_serve_won,18_receive_total,18_receive_won
Juan Martin Del Potro,140,87,140,56,487,335,492,204,335,226,288,89,152,105,204,87,226,158,199,79,214,140,206,59,47,34,87,35,158,101,120,33,208,139,226,88,108,76,111,52,13,9,35,21,196,132,171,49,145,94,147,55,41,27,66,34,158,111,141,48,78,43,87,29,161,103,204,86,103,70,118,48,58,38,86,36
Flavio Cipolla,5,1,6,3,42,22,42,15,22,13,27,8,20,9,15,6,13,9,19,8,18,12,17,7,11,5,6,2,9,6,11,2,16,6,18,5,11,6,11,3,6,2,2,0,9,6,15,7,16,9,13,5,7,4,5,1,12,9,15,4,11,2,9,3,7,4,24,7,4,3,17,8,3,1,7,1
Radek Stepanek,13,7,13,6,124,76,129,40,76,50,89,32,48,23,40,15,50,33,57,21,49,23,57,20,25,14,14,6,33,22,36,7,40,26,58,21,40,23,28,12,11,8,6,2,37,25,44,19,37,24,37,13,25,12,16,6,36,21,43,14,25,14,23,4,61,37,63,18,37,18,45,17,24,13,18,5
Fernando Verdasco,51,37,52,22,348,223,347,108,223,145,239,87,125,88,109,50,145,96,152,48,166,92,146,50,37,23,50,13,96,67,104,38,141,92,144,37,97,59,87,32,14,9,13,7,121,86,145,56,108,68,92,34,47,29,38,20,103,65,114,48,69,48,52,25,171,105,143,62,105,64,81,33,66,44,62,27
Andy Murray,134,95,133,64,829,556,813,354,556,365,459,184,273,165,354,155,365,244,275,113,356,231,382,181,108,66,155,71,244,163,162,69,352,228,314,129,191,118,265,126,42,28,71,31,309,201,254,104,242,158,268,110,101,65,166,70,266,184,262,122,149,101,206,91,323,206,461,206,206,137,255,104,117,71,206,86
Daniel Gimeno-Traver,0,0,0,0,15,6,16,5,6,2,11,3,9,6,5,0,2,0,8,0,10,3,8,0,3,2,0,0,0,0,8,2,5,3,8,3,9,5,0,0,1,0,0,0,3,3,7,1,7,4,3,1,4,2,0,0,4,1,3,1,5,3,1,0,9,4,3,2,4,4,1,0,5,3,2,1
Ivan Ljubicic,47,30,44,20,169,107,170,56,107,68,114,31,62,34,56,20,68,50,83,28,73,56,67,24,28,17,20,10,50,33,54,14,74,56,71,24,34,22,34,16,11,6,10,7,73,51,61,21,40,29,42,10,18,14,19,8,51,35,53,16,25,15,21,8,59,35,51,21,35,22,30,10,24,15,21,9
Marin Cilic,71,40,74,28,335,213,330,129,213,145,201,76,122,81,129,53,145,103,125,45,149,91,152,59,41,28,53,21,103,73,80,23,133,75,138,66,86,51,91,30,13,9,21,11,105,75,95,27,109,76,127,45,44,25,40,17,106,79,109,45,58,42,68,24,118,70,156,52,70,51,104,35,48,30,52,20
Ivo Karlovic,38,28,37,12,107,72,108,24,72,54,84,20,35,24,24,6,54,31,64,18,42,25,38,6,11,10,6,1,31,25,46,14,47,29,50,18,27,17,11,4,1,1,1,1,35,27,46,11,35,27,25,7,11,9,4,2,35,22,29,10,17,12,9,2,47,26,23,9,26,14,14,1,21,10,9,4
Janko Tipsarevic,58,40,57,18,361,231,363,149,231,155,214,80,130,85,149,59,155,112,134,43,161,99,170,62,45,33,59,20,112,72,91,27,142,102,150,59,94,55,101,39,12,6,20,10,142,99,118,36,95,71,121,38,45,28,49,22,114,81,119,53,52,32,65,26,119,79,183,74,79,48,109,43,40,23,74,26
Andreas Beck,7,3,7,3,29,13,29,12,13,8,17,8,16,8,12,3,8,5,9,4,13,9,17,2,8,4,3,1,5,3,5,2,12,6,19,7,8,7,4,1,4,3,1,0,8,3,14,1,13,8,10,3,4,3,2,0,13,7,8,0,8,4,5,1,13,11,6,1,11,8,5,1,2,0,1,0
Andy Roddick,66,48,64,27,336,233,330,111,233,157,219,73,103,75,111,45,157,114,146,51,151,114,139,56,28,20,45,22,114,86,95,24,157,102,134,50,57,41,79,32,8,4,22,12,130,106,108,37,96,63,97,29,20,14,42,19,87,56,105,27,47,31,52,20,114,78,97,40,78,51,57,17,36,25,40,19
David Ferrer,121,81,123,40,615,420,608,248,420,292,360,161,195,119,248,110,292,205,199,72,247,167,299,128,76,44,110,41,205,146,127,48,254,174,243,101,124,77,197,93,32,15,41,15,233,162,190,70,157,112,205,84,62,40,119,55,183,115,191,81,85,55,148,70,224,159,305,111,159,100,194,87,65,42,111,52
Benoit Paire,37,24,39,15,148,95,147,48,95,43,99,36,53,26,48,23,43,26,63,21,78,41,61,21,27,14,23,8,26,10,42,15,58,32,61,21,51,28,36,12,13,5,8,4,48,26,55,12,54,33,45,17,28,20,16,5,55,33,40,19,41,17,28,10,79,46,74,26,46,27,48,21,33,21,26,10
John Isner,149,123,151,47,419,280,410,138,280,195,272,94,139,94,138,37,195,141,178,49,179,119,195,54,45,30,37,10,141,99,129,34,173,113,190,57,90,62,81,25,15,11,10,6,155,117,167,33,122,92,113,36,39,29,29,7,130,98,110,36,59,44,58,24,112,88,108,26,88,65,82,18,24,13,26,6
Nicolas Mahut,37,24,38,12,155,95,154,46,95,56,108,34,60,40,46,14,56,33,74,20,79,43,66,21,20,12,14,6,33,22,54,17,66,33,65,20,47,28,29,12,8,2,6,2,44,31,62,20,61,37,37,12,21,12,16,8,50,29,45,20,36,23,20,7,90,56,60,29,56,29,31,11,34,19,29,13
Mikhail Kukushkin,4,2,6,0,87,47,87,32,47,30,55,20,40,23,32,13,30,22,35,13,40,24,39,14,17,11,13,9,22,14,22,4,32,17,38,17,27,10,18,9,6,4,9,4,25,13,25,9,25,14,26,12,21,9,14,4,26,18,23,3,20,10,22,7,32,21,28,9,21,14,19,5,11,7,9,4
Roger Federer,108,75,106,36,765,552,742,305,552,411,437,180,214,142,305,130,411,303,257,111,283,204,355,138,72,48,130,64,303,220,146,57,312,197,328,134,127,83,204,81,24,14,64,25,280,195,251,98,198,135,257,93,58,40,120,50,220,163,262,113,103,62,163,73,212,155,402,184,155,99,218,97,57,37,184,82
Robin Soderling,33,21,33,13,200,138,196,65,138,89,131,42,62,34,65,29,89,59,89,28,83,61,78,28,28,21,29,10,59,36,61,24,91,60,78,32,43,30,47,21,7,3,10,6,83,53,70,29,61,43,58,22,16,8,25,13,73,53,65,21,26,16,34,18,70,37,76,34,37,25,42,21,33,22,34,16
Philipp Petzschner,11,8,11,4,169,107,173,61,107,67,112,43,62,36,61,21,67,49,69,25,76,48,83,24,26,19,21,4,49,34,44,15,66,34,84,34,47,26,41,21,7,5,4,1,49,37,65,22,58,40,54,21,26,13,24,7,52,25,55,18,31,18,38,12,66,38,83,32,38,30,51,16,28,13,32,9
Kei Nishikori,52,32,53,21,245,151,251,107,151,94,144,62,94,61,107,48,94,51,82,36,118,81,121,51,33,17,48,17,51,32,45,14,124,76,106,45,54,33,82,33,16,8,17,9,95,64,75,25,81,48,94,40,29,17,41,13,79,46,79,32,50,32,68,23,120,68,149,55,68,43,94,42,52,30,55,25
Lleyton Hewitt,61,35,62,24,245,159,248,92,159,88,156,58,86,57,92,35,88,52,98,38,128,87,115,43,29,19,35,10,52,33,60,19,123,74,110,37,60,35,68,25,10,3,10,2,93,56,92,23,84,56,80,28,28,18,33,11,93,56,75,25,46,31,50,25,126,88,100,41,88,51,59,20,38,21,41,11
Ernests Gulbis,45,34,45,12,111,71,113,40,71,45,73,29,40,21,40,13,45,30,44,17,47,32,56,17,19,14,13,4,30,23,27,11,47,32,56,13,29,22,26,11,5,3,4,1,39,27,54,17,37,25,28,12,10,6,14,5,37,24,33,9,18,15,21,5,47,30,42,17,30,21,25,3,17,10,17,3
Dmitry Tursunov,27,22,27,5,57,36,56,20,36,24,36,12,21,14,20,6,24,17,24,8,26,17,26,9,7,5,6,1,17,11,16,3,24,15,25,9,14,4,14,4,2,0,1,0,21,10,19,4,13,10,19,2,10,6,5,4,21,13,21,12,9,7,3,0,25,18,26,12,18,13,14,2,7,5,12,3
James Ward,10,7,11,4,39,26,43,21,26,14,22,5,13,5,21,7,14,6,17,3,17,13,19,7,8,4,7,0,6,4,14,6,21,13,15,3,8,5,14,4,4,4,0,0,15,8,18,7,13,9,13,4,7,3,4,1,16,7,16,5,7,5,7,1,23,19,13,2,19,13,11,1,4,3,2,1
Michael Llodra,39,25,37,9,147,86,147,52,86,61,95,33,61,38,52,15,61,36,62,21,63,35,70,21,23,13,15,3,36,24,41,12,60,36,70,26,41,27,33,10,10,5,3,1,48,30,56,16,51,32,49,11,19,13,12,5,50,42,54,18,32,19,18,4,43,29,56,18,29,20,38,12,14,7,18,6
Marcos Baghdatis,64,44,64,16,280,161,280,109,161,104,170,49,119,85,110,44,104,67,121,44,142,87,115,33,34,20,44,15,67,44,77,24,124,80,125,48,75,44,62,29,14,8,15,7,103,73,101,41,88,58,81,22,39,27,37,17,88,60,100,39,57,36,42,19,135,79,130,51,79,49,79,37,56,41,51,20
James Blake,17,14,16,3,134,88,136,55,88,59,81,31,46,22,55,18,59,40,50,14,51,26,68,26,24,16,18,8,40,29,36,8,45,32,56,23,41,26,36,14,8,5,8,5,43,23,41,10,39,23,45,14,20,16,17,4,43,27,41,13,32,16,27,12,65,36,53,16,36,18,37,15,29,15,16,6
Jeremy Chardy,21,9,22,6,173,111,178,65,111,83,113,38,62,44,65,22,83,55,75,25,72,38,81,36,18,9,22,11,55,42,50,23,66,35,70,20,43,27,47,14,9,5,11,5,48,33,73,18,58,35,53,18,21,10,20,6,50,32,53,14,33,21,32,12,60,37,53,16,37,28,37,9,23,12,16,6
Novak Djokovic,136,89,136,48,826,567,803,352,569,395,451,199,260,170,352,165,394,269,252,99,344,237,386,176,90,55,165,75,269,187,153,58,362,245,309,149,162,110,265,131,35,22,75,36,327,249,218,87,227,159,283,127,74,48,170,83,237,157,243,116,116,71,214,103,262,177,445,203,177,124,242,112,85,58,203,97
Rafael Nadal,120,91,118,49,636,441,643,278,441,302,365,154,195,129,278,129,302,205,211,79,268,178,303,137,66,40,129,64,205,153,132,49,275,188,245,107,130,86,201,88,26,18,64,29,240,169,187,69,173,117,220,103,62,37,123,51,188,131,186,62,93,59,175,90,250,148,270,113,148,87,157,74,102,73,113,64
Ryan Sweeting,6,4,5,3,68,34,69,18,34,16,51,16,34,17,18,5,16,7,35,13,35,18,29,9,17,13,5,2,7,4,22,6,27,16,33,6,30,17,12,4,4,2,2,1,19,15,33,9,28,19,14,2,15,8,5,2,23,12,21,7,17,8,5,1,47,31,16,3,31,13,13,4,16,10,3,2
Gilles Muller,39,27,39,5,118,72,119,39,72,48,80,22,46,31,39,15,48,36,58,15,55,31,46,13,15,10,15,7,36,28,43,13,43,31,48,14,34,20,21,7,5,4,7,3,39,26,47,13,32,20,28,8,18,11,11,2,33,21,33,7,23,7,17,4,53,31,34,9,31,15,25,7,22,18,9,2
Milos Raonic,63,48,60,22,230,152,234,83,152,99,151,60,78,52,83,27,99,67,91,30,104,77,116,28,26,18,27,10,67,52,61,22,109,69,118,38,45,25,45,16,8,7,10,4,84,58,102,29,65,45,67,20,27,20,22,8,71,50,76,24,40,26,34,15,70,54,79,25,54,40,54,19,16,9,25,8
Olivier Rochus,17,10,18,4,43,25,46,8,25,11,38,6,18,12,8,1,11,6,32,11,26,18,13,1,6,4,1,0,6,4,21,4,23,15,23,3,12,8,2,0,2,0,0,0,17,6,24,6,16,10,5,2,4,2,0,0,21,12,9,4,8,4,2,1,32,14,10,3,14,6,7,2,18,11,3,0
Mardy Fish,114,77,111,49,375,250,377,141,250,157,236,98,125,82,141,55,157,114,138,60,175,123,184,78,43,34,55,25,114,79,78,21,166,109,166,64,86,51,108,44,9,7,25,5,144,105,123,52,108,77,128,39,42,25,64,27,116,87,141,55,56,37,76,29,104,71,188,71,71,52,117,39,33,19,71,24
Denis Istomin,19,12,19,8,122,80,122,43,80,52,79,35,42,20,43,10,52,34,44,15,48,30,68,15,22,12,10,3,34,26,29,8,48,31,68,24,30,18,22,8,10,6,3,0,39,28,52,24,35,20,38,12,18,9,11,5,31,20,50,14,24,12,18,5,39,24,50,20,24,13,30,7,15,5,20,4
Robin Haase,19,8,20,5,138,100,135,49,100,56,86,33,38,24,49,20,56,36,53,16,68,43,62,26,14,7,20,7,36,23,37,13,63,39,52,20,32,14,39,16,7,6,7,2,52,27,45,15,38,28,43,19,24,12,21,7,53,34,39,17,22,13,33,13,72,40,76,30,40,17,46,19,32,17,30,10
Julien Benneteau,57,37,55,22,259,161,263,88,161,88,175,67,98,61,88,34,88,59,108,36,134,82,121,42,37,22,34,15,59,39,72,30,111,69,115,40,74,50,61,27,15,7,15,6,89,57,105,28,92,57,74,25,31,15,36,17,89,59,77,33,50,34,44,19,135,75,104,38,75,48,66,26,60,44,38,18
Tomas Berdych,121,91,120,38,456,295,451,175,295,221,276,115,161,111,175,73,221,150,162,60,185,121,216,78,50,32,73,30,150,111,102,36,192,127,198,77,96,69,121,46,18,10,30,16,166,119,156,57,134,87,153,54,37,22,60,27,134,84,156,53,69,51,87,38,189,130,171,69,130,85,102,35,59,43,69,35
Tobias Kamke,5,3,6,1,95,47,97,33,47,27,64,19,48,31,33,14,27,15,45,19,51,26,38,13,17,4,14,3,15,14,26,10,38,18,44,16,29,23,24,9,13,4,3,2,19,13,38,13,43,16,31,10,10,6,10,3,22,10,34,11,32,19,17,7,58,30,46,18,30,15,28,12,28,12,18,5
Richard Gasquet,42,21,42,16,403,280,391,157,280,185,234,94,123,78,157,72,186,130,140,44,172,123,180,81,45,34,71,25,130,95,96,31,179,121,143,54,83,57,127,55,11,6,25,13,155,106,120,41,116,78,125,49,32,21,67,24,127,73,117,42,59,28,92,40,134,84,185,82,84,61,103,42,50,29,82,33
Igor Kunitsyn,8,5,8,2,40,21,43,13,21,11,30,5,19,12,13,6,11,7,25,4,22,14,12,4,7,5,6,1,7,7,21,5,18,11,12,4,13,9,9,1,2,1,1,0,11,8,13,3,16,9,12,2,5,3,2,0,12,8,13,4,10,4,4,1,13,6,11,2,6,4,9,3,7,3,2,1
Simone Bolelli,17,11,16,6,45,24,45,13,24,11,32,13,21,7,13,8,11,7,19,4,20,15,18,4,14,8,8,2,7,5,15,2,19,12,18,9,13,5,10,6,6,4,2,1,14,7,11,1,12,5,13,4,12,8,7,2,12,7,10,2,15,8,9,3,19,14,15,8,14,10,7,2,5,2,8,3
Stan Wawrinka,94,58,95,25,382,263,381,147,263,162,234,86,119,75,147,63,162,101,148,62,176,120,170,68,44,33,63,34,101,71,86,34,181,123,164,66,89,58,97,42,11,5,34,15,153,96,132,50,116,73,121,47,36,20,61,19,130,75,124,41,63,39,89,36,174,114,176,72,114,71,104,43,60,37,72,33
Victor Hanescu,6,4,5,3,71,47,70,21,47,26,49,16,24,14,21,8,26,15,32,8,35,24,29,6,10,8,8,4,15,10,24,6,35,26,31,13,19,12,10,6,2,1,4,2,31,22,24,7,21,12,17,7,8,4,8,1,21,13,17,4,13,8,14,8,38,17,13,3,17,8,10,1,21,13,3,1
Ryan Harrison,20,13,20,8,161,100,162,55,100,48,107,25,61,30,55,17,48,34,82,22,82,52,63,17,31,16,17,4,34,24,60,21,66,36,68,20,46,25,30,14,15,5,4,2,46,33,69,27,55,37,36,10,26,13,16,9,50,33,53,18,31,18,17,5,73,44,60,27,44,26,33,14,29,20,27,11
Grigor Dimitrov,37,24,35,13,132,84,130,44,84,46,86,30,48,19,44,14,46,31,56,21,57,34,60,21,29,16,14,6,31,17,35,10,49,30,60,22,39,23,29,8,13,7,6,0,44,31,48,13,42,21,43,18,23,15,14,5,34,18,38,16,36,27,27,6,87,60,59,17,60,36,42,11,27,20,17,6
Jo-Wilfried Tsonga,112,81,111,41,585,356,583,199,356,234,384,137,229,151,199,89,234,149,247,80,273,180,247,79,78,49,89,40,149,108,167,53,265,171,248,100,142,88,128,58,29,20,40,20,212,146,201,68,182,127,170,63,74,47,78,37,193,130,175,61,102,67,104,46,235,165,195,74,165,110,121,38,70,50,74,36
Nicolas Almagro,110,76,111,28,408,288,407,151,288,193,256,91,120,79,151,51,193,130,165,59,174,129,191,77,41,31,51,13,130,88,106,27,192,130,173,62,76,39,115,53,10,5,13,3,172,121,138,44,101,69,124,42,42,30,63,28,120,81,126,48,62,41,77,24,139,85,184,72,85,57,112,36,54,31,72,25
David Nalbandian,21,15,22,6,172,88,173,62,88,50,111,45,84,54,62,29,50,32,66,24,92,60,78,28,29,14,29,9,32,24,42,14,78,49,74,34,46,27,48,15,15,9,9,4,57,44,54,21,56,36,67,21,28,16,20,6,49,27,67,29,36,19,35,11,77,48,97,37,48,34,60,21,29,22,36,13
Andreas Haider-Maurer,0,0,0,0,32,17,32,13,17,9,19,5,15,8,13,2,9,6,14,8,16,14,16,4,7,4,2,2,6,5,6,2,17,10,20,7,6,3,4,1,3,1,2,0,11,8,15,2,10,5,10,4,4,4,3,1,8,3,8,4,9,5,6,1,19,9,14,3,9,7,11,2,10,7,3,0
Adrian Mannarino,6,3,6,1,68,36,71,20,36,21,51,14,32,16,20,5,21,10,37,8,32,17,29,11,15,9,5,2,10,5,29,8,28,13,26,12,24,13,14,4,6,2,2,0,18,9,22,6,27,13,22,6,13,8,6,1,22,17,22,7,22,9,11,5,22,12,23,5,12,8,18,6,10,4,5,1
Igor Andreev,38,24,41,11,139,84,144,48,84,58,96,32,55,42,48,18,58,43,64,25,68,50,62,22,13,11,18,9,43,27,39,15,65,39,65,21,29,18,31,9,2,1,9,6,55,37,59,19,44,27,43,12,12,5,12,5,45,31,50,17,22,12,19,9,40,26,63,23,26,15,40,20,14,3,23,7
Bernard Tomic,36,23,38,23,281,186,273,103,186,111,170,64,95,60,103,35,111,72,106,31,135,91,132,39,35,21,35,13,72,50,75,19,130,80,124,46,65,43,61,27,14,11,13,6,102,65,97,31,93,62,80,29,33,19,34,13,99,51,82,18,50,31,50,14,159,94,93,37,94,50,56,20,65,36,37,18
Jurgen Melzer,46,33,42,16,186,114,189,78,113,70,110,43,73,35,79,33,70,40,67,25,78,46,89,28,38,25,33,11,40,26,43,13,75,50,85,33,57,39,50,19,13,4,11,3,64,41,65,29,64,47,65,27,22,12,26,13,70,40,67,31,29,19,39,16,85,44,98,29,44,30,69,28,41,22,29,13
Viktor Troicki,12,8,11,4,219,129,221,86,129,73,135,51,90,59,86,40,73,44,84,31,115,83,97,33,31,19,40,15,44,24,53,21,112,64,95,33,51,29,58,20,12,7,15,6,84,55,83,29,77,42,71,35,29,22,29,10,71,45,65,20,57,32,53,20,113,64,102,43,64,37,59,27,49,28,43,21
Yen-Hsun Lu,22,17,22,11,145,84,143,41,84,51,102,35,61,28,41,11,51,36,66,26,61,30,66,21,33,20,11,6,36,23,40,11,45,33,70,28,51,27,26,5,13,7,6,3,45,27,53,16,40,26,49,10,31,18,8,4,43,27,55,19,32,23,14,2,64,38,61,21,38,24,40,15,26,11,21,6
Andreas Seppi,21,15,22,2,129,81,130,45,81,47,85,35,48,23,45,15,47,31,50,12,57,36,65,23,25,18,15,5,31,17,38,9,52,36,54,19,39,27,33,12,7,3,5,2,50,29,44,13,43,23,40,16,15,6,15,10,44,26,37,12,26,13,21,6,59,33,46,19,33,22,27,7,26,17,19,7
Kevin Anderson,53,30,54,16,140,93,140,57,93,63,83,32,47,28,57,24,63,44,51,15,58,37,66,22,19,11,24,6,44,29,36,12,54,29,60,16,32,17,39,11,8,4,6,3,44,27,56,17,43,25,44,12,19,12,14,4,42,27,49,22,30,19,22,4,54,38,78,23,38,28,54,18,16,11,24,4
Gilles Simon,102,59,104,34,387,240,390,163,240,149,227,96,148,88,163,65,148,82,131,48,180,112,194,74,60,41,65,32,82,53,83,33,177,110,169,78,108,60,107,49,19,11,32,14,139,89,123,38,127,89,137,43,59,28,67,29,139,77,130,51,66,46,80,41,201,128,156,58,128,81,98,36,73,46,58,27
Alex Bogomolov Jr.,20,14,19,4,108,74,106,35,74,48,71,29,34,14,35,7,48,30,42,12,40,23,57,28,20,11,7,1,30,19,30,8,41,21,41,12,28,17,34,12,9,7,1,1,32,20,37,11,37,22,34,12,18,13,12,3,34,19,33,17,28,16,21,3,65,47,61,19,47,23,42,18,17,10,19,11
